DATE,S&P500,JPX400,SSEC,KOSPI
2007-05-02,1495.92,14758.04,,1553.3
2007-05-03,1502.39,,,1559.86
2007-05-04,1505.62,,,1567.74
2007-05-05,,,,1567.74
2007-05-06,,,,1567.74
2007-05-07,1509.48,15012.09,,1584.46
2007-05-08,1507.72,14993.23,3950.01,1582.65
2007-05-09,1512.58,15118.11,4013.09,1593.42
2007-05-10,1491.47,15049.72,4049.7,1599.68
2007-05-11,1505.85,14916.91,4021.68,1603.56
2007-05-12,,,,1603.56
2007-05-13,,,,1603.56
2007-05-14,1503.15,15004.52,4046.39,1605.77
2007-05-15,1501.19,14845.5,3899.18,1589.37
2007-05-16,1514.14,14854.67,3986.04,1600.6
2007-05-17,1512.75,14821.42,4048.29,1615.58
2007-05-18,1522.75,14724.54,4030.26,1612.25
2007-05-19,,,,1612.25
2007-05-20,,,,1612.25
2007-05-21,1525.1,14860.91,4072.22,1628.2
2007-05-22,1524.12,15026.69,4110.38,1642.88
2007-05-23,1522.28,15061.02,4173.71,1646.59
2007-05-24,1507.51,15040.48,4151.13,1646.59
2007-05-25,1515.73,14849.3,4179.78,1644.56
2007-05-26,,,,1644.56
2007-05-27,,,,1644.56
2007-05-28,,14919.35,4272.11,1657.91
2007-05-29,1518.11,15027.95,4334.92,1661.8
2007-05-30,1530.23,14994.85,4053.09,1662.72
2007-05-31,1530.62,15200.45,4109.65,1700.91
2007-06-01,1536.34,15310.14,4000.74,1716.24
2007-06-02,,,,1716.24
2007-06-03,,,,1716.24
2007-06-04,1539.18,15351.62,3670.4,1737.59
2007-06-05,1530.95,15387.36,3767.1,1742.19
2007-06-06,1517.38,15402.93,3776.32,1742.19
2007-06-07,1490.72,15392.29,3890.8,1753.04
2007-06-08,1507.67,15169.71,3913.14,1727.28
2007-06-09,,,,1727.28
2007-06-10,,,,1727.28
2007-06-11,1509.12,15217.62,3995.68,1716.56
2007-06-12,1493,15129.55,4072.14,1729.88
2007-06-13,1515.67,15077.78,4176.48,1721.99
2007-06-14,1522.97,15165.34,4115.21,1769.18
2007-06-15,1532.91,15304.47,4132.87,1772.26
2007-06-16,,,,1772.26
2007-06-17,,,,1772.26
2007-06-18,1531.05,15440.89,4253.35,1806.88
2007-06-19,1533.7,15378.93,4269.52,1807.85
2007-06-20,1512.84,15408.86,4181.32,1783.79
2007-06-21,1522.19,15471.87,4230.82,1794.24
2007-06-22,1502.56,15373.3,4091.45,1770.98
2007-06-23,,,,1770.98
2007-06-24,,,,1770.98
2007-06-25,1497.74,15269.54,3941.08,1757.73
2007-06-26,1492.89,15280,3973.37,1749.55
2007-06-27,1506.34,15056.85,4078.6,1733.1
2007-06-28,1505.71,15125.13,3914.2,1751.75
2007-06-29,1503.35,15349.76,3820.7,1743.6
2007-06-30,,,,1743.6
2007-07-01,,,,1743.6
2007-07-02,1519.43,15401.64,3836.29,1771.35
2007-07-03,1524.87,15413.47,3899.72,1805.5
2007-07-04,,15427.75,3816.16,1838.41
2007-07-05,1525.4,15482.14,3615.87,1847.79
2007-07-06,1530.44,15407.53,3781.35,1861.01
2007-07-07,,,,1861.01
2007-07-08,,,,1861.01
2007-07-09,1531.85,15517.34,3883.22,1883.59
2007-07-10,1510.12,15498.08,3853.02,1894.53
2007-07-11,1518.76,15313.68,3865.72,1889.96
2007-07-12,1547.7,15275.69,3915.99,1909.75
2007-07-13,1552.5,15462.47,3914.39,1962.93
2007-07-14,,,,1962.93
2007-07-15,,,,1962.93
2007-07-16,1549.52,,3821.92,1949.51
2007-07-17,1549.37,15433.44,3896.19,1949.51
2007-07-18,1546.17,15266.66,3930.06,1930.7
2007-07-19,1553.08,15359.87,3912.94,1937.9
2007-07-20,1534.1,15440.27,4058.85,1983.54
2007-07-21,,,,1983.54
2007-07-22,,,,1983.54
2007-07-23,1541.57,15278.53,4213.36,1993.05
2007-07-24,1511.04,15344.81,4210.33,1992.26
2007-07-25,1518.09,15230.49,4323.97,2004.22
2007-07-26,1482.66,15085.78,4346.46,1963.54
2007-07-27,1458.95,14750.66,4345.36,1883.22
2007-07-28,,,,1883.22
2007-07-29,,,,1883.22
2007-07-30,1473.91,14806.91,4440.77,1906.71
2007-07-31,1455.27,14815.16,4471.03,1933.27
2007-08-01,1465.81,14507.43,4300.56,1856.45
2007-08-02,1472.2,14528.15,4407.73,1853.07
2007-08-03,1433.06,14577.54,4560.77,1876.8
2007-08-04,,,,1876.8
2007-08-05,,,,1876.8
2007-08-06,1467.67,14546.3,4628.11,1855.05
2007-08-07,1476.71,14472.84,4651.23,1859.82
2007-08-08,1497.49,14524.83,4663.16,1903.41
2007-08-09,1453.09,14661.9,4754.1,1908.68
2007-08-10,1453.64,14227.66,4749.37,1828.49
2007-08-11,,,,1828.49
2007-08-12,,,,1828.49
2007-08-13,1452.92,14213.77,4820.06,1849.26
2007-08-14,1426.54,14272.74,4872.78,1817.89
2007-08-15,1406.7,13913.01,4869.88,1817.89
2007-08-16,1411.27,13678.86,4765.45,1691.98
2007-08-17,1445.94,12927.5,4656.57,1638.07
2007-08-18,,,,1638.07
2007-08-19,,,,1638.07
2007-08-20,1445.55,13306.23,4904.85,1731.27
2007-08-21,1447.12,13535.5,4955.21,1736.18
2007-08-22,1464.07,13501.57,4980.07,1759.5
2007-08-23,1462.5,13921.83,5032.49,1799.72
2007-08-24,1479.37,13851.16,5107.67,1791.33
2007-08-25,,,,1791.33
2007-08-26,,,,1791.33
2007-08-27,1466.79,13860.97,5150.12,1803.03
2007-08-28,1432.36,13841.81,5194.69,1829.31
2007-08-29,1463.76,13602.22,5109.43,1826.19
2007-08-30,1457.64,13709.23,5167.88,1841.7
2007-08-31,1473.99,14058.06,5218.82,1873.24
2007-09-01,,,,1873.24
2007-09-02,,,,1873.24
2007-09-03,,14031.14,5321.06,1881.81
2007-09-04,1489.42,13943.65,5294.05,1874.74
2007-09-05,1472.29,13705.45,5310.72,1865.59
2007-09-06,1478.55,13718.43,5393.66,1888.81
2007-09-07,1453.55,13609.48,5277.18,1884.9
2007-09-08,,,,1884.9
2007-09-09,,,,1884.9
2007-09-10,1451.7,13331.67,5355.29,1835.87
2007-09-11,1471.49,13405.44,5113.97,1847.36
2007-09-12,1471.56,13381.25,5172.63,1813.52
2007-09-13,1483.95,13357.65,5273.59,1848.02
2007-09-14,1484.25,13547.37,5312.18,1870.02
2007-09-15,,,,1870.02
2007-09-16,,,,1870.02
2007-09-17,1476.65,,5421.39,1871.68
2007-09-18,1519.78,13264.28,5425.21,1838.61
2007-09-19,1529.03,13773.3,5395.27,1902.65
2007-09-20,1518.75,13788.1,5470.06,1908.97
2007-09-21,1525.75,13688.54,5454.67,1919.26
2007-09-22,,,,1919.26
2007-09-23,,,,1919.26
2007-09-24,1517.73,,5485.01,1919.26
2007-09-25,1517.21,13833.7,5425.88,1919.26
2007-09-26,1525.42,13902.06,5338.52,1919.26
2007-09-27,1531.38,14260.38,5409.4,1945.28
2007-09-28,1526.75,14266.28,5552.3,1946.48
2007-09-29,,,,1946.48
2007-09-30,,,,1946.48
2007-10-01,1547.04,14246.88,,1962.67
2007-10-02,1546.63,14450.61,,2014.09
2007-10-03,1539.59,14662.97,,2014.09
2007-10-04,1542.84,14576.41,,2003.6
2007-10-05,1557.59,14578,,1996.03
2007-10-06,,,,1996.03
2007-10-07,,,,1996.03
2007-10-08,1552.58,,5692.76,2012.82
2007-10-09,1565.15,14601.62,5715.89,2014.13
2007-10-10,1562.47,14596.25,5771.46,2041.12
2007-10-11,1554.41,14789.12,5913.23,2058.85
2007-10-12,1561.8,14644.62,5903.26,2026.44
2007-10-13,,,,2026.44
2007-10-14,,,,2026.44
2007-10-15,1548.71,14645.5,6030.09,2035.39
2007-10-16,1538.53,14381.2,6092.06,2005.76
2007-10-17,1541.24,14176.62,6036.28,1983.94
2007-10-18,1540.08,14314.05,5825.28,2005.09
2007-10-19,1500.63,14067.29,5818.05,1970.1
2007-10-20,,,,1970.1
2007-10-21,,,,1970.1
2007-10-22,1506.33,13796.12,5667.33,1903.81
2007-10-23,1519.59,13853.68,5773.39,1947.98
2007-10-24,1515.88,13814.15,5843.11,1933.36
2007-10-25,1514.4,13678.45,5562.39,1976.75
2007-10-26,1535.28,13900.52,5589.63,2028.06
2007-10-27,,,,2028.06
2007-10-28,,,,2028.06
2007-10-29,1540.98,14179.17,5748,2062.92
2007-10-30,1531.02,14173.92,5897.19,2052.37
2007-10-31,1549.38,14250.69,5954.77,2064.85
2007-11-01,1508.44,14404.29,5914.28,2063.14
2007-11-02,1509.65,14114.96,5777.81,2019.34
2007-11-03,,,,2019.34
2007-11-04,,,,2019.34
2007-11-05,1502.17,13895.86,5634.45,2015.76
2007-11-06,1520.27,13885.86,5536.57,2054.24
2007-11-07,1475.62,13734.45,5601.78,2043.19
